HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON
SBNT,Slaty-backed Nightingale-Thrush,Catharus fuscater,CATFUT,
RUNT,Russet Nightingale-Thrush,Catharus occidentalis,CATOCC
RCNT,Ruddy-capped Nightingale-Thrush,Catharus frantzii,CATFRA
BHNT,Black-headed Nightingale-Thrush,Catharus mexicanus,CASMEX,
YTNT,Yellow-throated Nightingale-Thrush,Catharus dryas,CATDRY
VEER,Veery,Catharus fuscescens,CATFUN,
GCTH,Gray-cheeked Thrush,Catharus minimus,CATMIN
GCBT,Gray-cheeked/Bicknell's Thrush,Catharus minimus/bicknelli,CATMIB
BITH,Bicknell's Thrush,Catharus bicknelli,CATBIC
SWTH,Swainson's Thrush,Catharus ustulatus,CATUST
HETH,Hermit Thrush,Catharus guttatus,CATGUT
WOTH,Wood Thrush,Hylocichla mustelina,HYLMUS
MITH,Mistle Thrush,Turdus viscivorus,TURVIS
EUBB,Eurasian Blackbird,Turdus merula,TURMER
EYTH,Eyebrowed Thrush,Turdus obscurus,TUROBC,
DUTH,Dusky Thrush,Turdus eunomus,TUREUN
NATH,Naumann's Thrush,Turdus naumanni,TURNAU
FIEL,Fieldfare,Turdus pilaris,TURPIL
REDW,Redwing,Turdus iliacus,TURILI
SOTH,Song Thrush,Turdus philomelos,TURPHI
SOOT,Sooty Thrush,Turdus nigrescens,TURNIG
BLTH,Black Thrush,Turdus infuscatus,TURINF
MOTH,Mountain Thrush,Turdus plebejus,TURPLE
COCT,Cocoa Thrush,Turdus fumigatus,TURFUM
PVTH,Pale-vented Thrush,Turdus obsoletus,TUROBL,
CCTH,Clay-colored Thrush,Turdus grayi,TURGRA
SPTH,Spectacled Thrush,Turdus nudigenis,TURNUD
WETH,White-eyed Thrush,Turdus jamaicensis,TURJAM
WTTH,White-throated Thrush,Turdus assimilis,TURASS
RBRO,Rufous-backed Robin,Turdus rufopalliatus,TURRUP,
RCRO,Rufous-collared Robin,Turdus rufitorques,TURRUT,
AMRO,American Robin,Turdus migratorius,TURMIG
LSTH,La Selle Thrush,Turdus swalesi,TURSWA
WCTH,White-chinned Thrush,Turdus aurantius,TURAUR
GCAT,Grand Cayman Thrush,Turdus ravidus,TURRAV
RLTH,Red-legged Thrush,Turdus plumbeus,TURPLU
FOTH,Forest Thrush,Turdus lherminieri,TURLHE
VATH,Varied Thrush,Ixoreus naevius,IXONAE
UNTH,Unidentified Thrush,"Turdidae (gen, sp)",TURGSP
AZTH,Aztec Thrush,Ridgwayia pinicola,RIDPIN
GSFL,Gray-streaked Flycatcher,Muscicapa griseisticta,MUSGRI
ABFL,Asian Brown Flycatcher,Muscicapa dauurica,MUSDAU
SPFL,Spotted Flycatcher,Muscicapa striata,MUSSTR
DSFL,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB
WRSH,White-rumped Shama,Copsychus malabaricus,COPMAL
EURO,European Robin,Erithacus rubecula,ERIRUB
SBRO,Siberian Blue Robin,Larvivora cyane,LARCYA
RTRO,Rufous-tailed Robin,Larvivora sibilans,LARSIB
BLUE,Bluethroat,Cyanecula svecica,CYASVE
SIRU,Siberian Rubythroat,Calliope calliope,CALCAP,
RFBL,Red-flanked Bluetail,Tarsiger cyanurus,TARCYA
NAFL,Narcissus Flycatcher,Ficedula narcissina,FICNAR
MUFL,Mugimaki Flycatcher,Ficedula mugimaki,FICMUG
TAFL,Taiga Flycatcher,Ficedula albicilla,FICALB
CRET,Common Redstart,Phoenicurus phoenicurus,PHOPHO
RTRT,Rufous-tailed Rock-thrush,Monticola saxatilis,MONSAX
ASST,Asian Stonechat,Saxicola maurus,SAXMAU
NOWH,Northern Wheatear,Oenanthe oenanthe,OENOEN
PIWH,Pied Wheatear,Oenanthe pleschanka,OENPLE
OLWA,Olive Warbler,Peucedramus taeniatus,PEUTAE
VIWE,Village Weaver,Ploceus cucullatus,PLOCUC
NRBI,Northern Red Bishop,Euplectes franciscanus,EUPFRA
YCBI,Yellow-crowned Bishop,Euplectes afer,EUPAFE
PTWH,Pin-tailed Whydah,Vidua macroura,VIDMAC
BRMA,Bronze Mannikin,Spermestes cucullata,SPECUC
AFSI,African Silverbill,Euodice cantans,EUOCAN
INSI,Indian Silverbill,Euodice malabarica,EUOMAB
JASP,Java Sparrow,Padda oryzivora,PADORY
SBMU,Scaly-breasted Munia,Lonchura punctulata,LONPUN
TRMU,Tricolored Munia,Lonchura malacca,LONMAL
CHMU,Chestnut Munia,Lonchura atricapilla,LONATR
REAV,Red Avadavat,Amandava amandava,AMDAMA,
LAVW,Lavender Waxbill,Glaucestrilda caerulescens,GLACAE
OCHW,Orange-cheeked Waxbill,Estrilda melpoda,ESTMEL
COMW,Common Waxbill,Estrilda astrild,ESTAST
BLRW,Black-rumped Waxbill,Estrilda troglodytes,ESTTR
SIAC,Siberian Accentor,Prunella montanella,PRUMO
HOSP,House Sparrow,Passer domesticus,PASDO
ETSP,Eurasian Tree Sparrow,Passer montanus,PASMO
EYWA,Eastern Yellow Wagtail,Motacilla tschutschensis,MOTTS
CIWA,Citrine Wagtail,Motacilla citreola,MOTCI
GRAW,Gray Wagtail,Motacilla cinerea,MOTCI
WHWA,White Wagtail,Motacilla alba,MOTAL
TRPI,Tree Pipit,Anthus trivialis,ANTTR
OBPI,Olive-backed Pipit,Anthus hodgsoni,ANTHO
PEPI,Pechora Pipit,Anthus gustavi,ANTGU
RTPI,Red-throated Pipit,Anthus cervinus,ANTCE
SIPI,Siberian Pipit,Anthus japonicus,ANTJA
AMPI,American Pipit,Anthus rubescens,ANTRU
MEPI,Meadow Pipit,Anthus pratensis,ANTPR
SPPI,Sprague's Pipit,Anthus spragueii,ANTSP
YEPI,Yellowish Pipit,Anthus chii,ANTCHI
CCHA,Common Chaffinch,Fringilla coelebs,FRICOE
BRAM,Brambling,Fringilla montifringilla,FRIMON
ELEU,Elegant Euphonia,Chlorophonia elegantissima,CHLELE
HIEU,Hispaniolan Euphonia,Chlorophonia musica,CHLMUS
PREU,Puerto Rican Euphonia,Chlorophonia sclateri,CHLSCL
LAEU,Lesser Antillean Euphonia,Chlorophonia flavifrons,CHLFLF,
YCCH,Yellow-collared Chlorophonia,Chlorophonia flavirostris,CHPFLA,
BCRC,Blue-crowned Chlorophonia,Chlorophonia occipitalis,CHLOCC
GBCH,Golden-browed Chlorophonia,Chlorophonia callophrys,CHLCAL
JAEU,Jamaican Euphonia,Euphonia jamaica,EUPJAM
WMEU,West Mexican Euphonia,Euphonia godmani,EUPGOD
SEUP,Scrub Euphonia,Euphonia affinis,EUPAFF
YCEU,Yellow-crowned Euphonia,Euphonia luteicapilla,EUPLUT
WVEU,White-vented Euphonia,Euphonia minuta,EUPMIN
YTEU,Yellow-throated Euphonia,Euphonia hirundinacea,EUPHIR
TBEU,Thick-billed Euphonia,Euphonia laniirostris,EUPLAN
SPCE,Spot-crowned Euphonia,Euphonia imitans,EUPIMI
OBAE,Olive-backed Euphonia,Euphonia gouldi,EUPGOU
FVEU,Fulvous-vented Euphonia,Euphonia fulvicrissa,EUPFUL
TCEU,Tawny-capped Euphonia,Euphonia anneae,EUPANN
OBEE,Orange-bellied Euphonia,Euphonia xanthogaster,EUPXAN
HOOG,Hooded Grosbeak,Coccothraustes abeillei,COCABE
EVGR,Evening Grosbeak,Coccothraustes vespertinus,COCVES
HAWF,Hawfinch,Coccothraustes coccothraustes,COCCOT,
CORO,Common Rosefinch,Carpodacus erythrinus,CARERY
PARO,Pallas's Rosefinch,Carpodacus roseus,CARROS
POUL,Poo-uli,Melamprosops phaeosoma,MELPHA
AKIK,Akikiki,Oreomystis bairdi,OREBAI
OAAL,Oahu Alauahio,Paroreomyza maculata,PAMMAC,
KAKA,Kakawahie,Paroreomyza flammea,PARFLA
MAAL,Maui Alauahio,Paroreomyza montana,PAMMON,
PALI,Palila,Loxioides bailleui,LOXBA
LAFI,Laysan Finch,Telespiza cantans,TELCA
NIFI,Nihoa Finch,Telespiza ultima,TELUL
KOGR,Kona Grosbeak,Chloridops kona,CHLKO
LEKF,Lesser Koa-Finch,Rhodacanthis flaviceps,RHOFL
GRKF,Greater Koa-Finch,Rhodacanthis palmeri,RHOPA
UAIH,Ula-ai-hawane,Ciridops anna,CIRAN
AKOH,Akohekohe,Palmeria dolei,PALDO
LAYH,Laysan Honeycreeper,Himatione fraithii,HIMFR
APAP,Apapane,Himatione sanguinea,HIMSA
IIWI,Iiwi,Drepanis coccinea,DRECO
HAMA,Hawaii Mamo,Drepanis pacifica,DREPA
BLMA,Black Mamo,Drepanis funerea,DREFU
OU,Ou,Psittirostra psittacea,PSIPS
LANH,Lanai Hookbill,Dysmorodrepanis munroi,DYSMU
MAPA,Maui Parrotbill,Pseudonestor xanthophrys,PSEXA
KANU,Kauai Nukupuu,Hemignathus hanapepe,HEMHAN
OANU,Oahu Nukupuu,Hemignathus lucidus,HEMLUC
MANU,Maui Nukupuu,Hemignathus affinis,HEMAFF
AKIA,Akiapolaau,Hemignathus wilsoni,HEMWIL
LEAK,Lesser Akialoa,Akialoa obscura,AKIOBS
KAAK,Kauai Akialoa,Akialoa stejnegeri,AKISTE
OAKI,Oahu Akialoa,Akialoa ellisiana,AKIELL
MNAK,Maui-nui Akialoa,Akialoa lanaiensis,AKILAN
ANIA,Anianiau,Magumma parva,MAGPAR
HAAM,Hawaii Amakihi,Chlorodrepanis virens,CHLVIR
OAAM,Oahu Amakihi,Chlorodrepanis flava,CHDFLA,
KAAM,Kauai Amakihi,Chlorodrepanis stejnegeri,CHLSTE
GRAM,Greater Amakihi,Viridonia sagittirostris,VIRSAG
HCRE,Hawaii Creeper,Loxops mana,LOXMAN
AKEK,Akekee,Loxops caeruleirostris,LOXCAE
OAKE,Oahu Akepa,Loxops wolstenholmei,LOXWOL
MAAK,Maui Akepa,Loxops ochraceus,LOXOCH
HAAK,Hawaii Akepa,Loxops coccineus,LOXCOC
PIGR,Pine Grosbeak,Pinicola enucleator,PINENU
EUBU,Eurasian Bullfinch,Pyrrhula pyrrhula,PYRPYH,
ASRF,Asian Rosy-Finch,Leucosticte arctoa,LEUARC
GCRF,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,LEUTEP
BLRF,Black Rosy-Finch,Leucosticte atrata,LEUATT,
BCRF,Brown-capped Rosy-Finch,Leucosticte australis,LEUAUS
HOFI,House Finch,Haemorhous mexicanus,HAEMEX
PUFI,Purple Finch,Haemorhous purpureus,HAEPUR
CAFI,Cassin's Finch,Haemorhous cassinii,HAECAS
UHFI,Unidentified Haemorhous Finch,Haemorhous (sp),HAESPE
ORGR,Oriental Greenfinch,Chloris sinica,CHLSIN
YFCA,Yellow-fronted Canary,Crithagra mozambica,CRIMOZ
REDP,Redpoll,Acanthis flammea,ACAFLA
RECR,Red Crossbill,Loxia curvirostra,LOXCUR
CACR,Cassia Crossbill,Loxia sinesciuris,LOXSIN
HICR,Hispaniolan Crossbill,Loxia megaplaga,LOXMEG
WWCR,White-winged Crossbill,Loxia leucoptera,LOXLEU
EGOL,European Goldfinch,Carduelis carduelis,CARCAU,
EUSI,Eurasian Siskin,Spinus spinus,SPISPI
PISI,Pine Siskin,Spinus pinus,SPIPIN
BCSI,Black-capped Siskin,Spinus atriceps,SPIATC,
BHSI,Black-headed Siskin,Spinus notatus,SPINOT
YBSI,Yellow-bellied Siskin,Spinus xanthogastrus,SPIXAN
RESI,Red Siskin,Spinus cucullatus,SPICUC
ANSI,Antillean Siskin,Spinus dominicensis,SPUDOM,
LEGO,Lesser Goldfinch,Spinus psaltria,SPIPSA
LAGO,Lawrence's Goldfinch,Spinus lawrencei,SPILAW
AGOL,American Goldfinch,Spinus tristis,SPITRI
ISCA,Island Canary,Serinus canaria,SERCAN
ROTT,Rosy Thrush-Tanager,Rhodinocichla rosea,RHNROS,
LALO,Lapland Longspur,Calcarius lapponicus,CALLAP
CCLO,Chestnut-collared Longspur,Calcarius ornatus,CALORN
SMLO,Smith's Longspur,Calcarius pictus,CALPIC
TBLO,Thick-billed Longspur,Rhynchophanes mccownii,RHYMCC
SNBU,Snow Bunting,Plectrophenax nivalis,PLENIV
MKBU,McKay's Bunting,Plectrophenax hyperboreus,PLEHYP
PIBU,Pine Bunting,Emberiza leucocephalos,EMBLEU
YBWB,Yellow-browed Bunting,Emberiza chrysophrys,EMBCHR
LIBU,Little Bunting,Emberiza pusilla,EMBPUS
RUBU,Rustic Bunting,Emberiza rustica,EMBRUS
YTBU,Yellow-throated Bunting,Emberiza elegans,EMBELE
YBSB,Yellow-breasted Bunting,Emberiza aureola,EMBAUR
GRBU,Gray Bunting,Emberiza variabilis,EMBVAR
PALB,Pallas's Bunting,Emberiza pallasi,EMBPAL
REBU,Reed Bunting,Emberiza schoeniclus,EMBSCH
YTCH,Yellow-throated Chlorospingus,Chlorospingus flavigularis,CHLFLG,
ATCH,Ashy-throated Chlorospingus,Chlorospingus canigularis,CHLCAG,
SCCH,Sooty-capped Chlorospingus,Chlorospingus pileatus,CHLPIL
COCL,Common Chlorospingus,Chlorospingus flavopectus,CHLFLP,
TACH,Tacarcuna Chlorospingus,Chlorospingus tacarcunae,CHLTAC
PICH,Pirre Chlorospingus,Chlorospingus inornatus,CHLINO
RWSP,Rufous-winged Sparrow,Peucaea carpalis,PEUCAR
CTSP,Cinnamon-tailed Sparrow,Peucaea sumichrasti,PEUSUM
SHSP,Stripe-headed Sparrow,Peucaea ruficauda,PEURUF
BCHS,Black-chested Sparrow,Peucaea humeralis,PEUHUM
BRIS,Bridled Sparrow,Peucaea mystacalis,PEUMYS
BOSP,Botteri's Sparrow,Peucaea botterii,PEUBOT
CASP,Cassin's Sparrow,Peucaea cassinii,PEUCAS
BACS,Bachman's Sparrow,Peucaea aestivalis,PEUAES
GRSP,Grasshopper Sparrow,Ammodramus savannarum,AMMSAV
FGSP,Florida Grasshopper Sparrow,Ammodramus savannarum floridanus,AMMSFL
OLSP,Olive Sparrow,Arremonops rufivirgatus,ARRRUF
GBSP,Green-backed Sparrow,Arremonops chloronotus,ARRCHL
BSTS,Black-striped Sparrow,Arremonops conirostris,ARRCON
FSSP,Five-striped Sparrow,Amphispizopsis quinquestriata,AMPQUI
BTSP,Black-throated Sparrow,Amphispiza bilineata,AMPBIL
LASP,Lark Sparrow,Chondestes grammacus,CHOGRA
LARB,Lark Bunting,Calamospiza melanocorys,CALMEC,
CHSP,Chipping Sparrow,Spizella passerina,SPIPAS
CCSP,Clay-colored Sparrow,Spizella pallida,SPIPAL
BCSP,Black-chinned Sparrow,Spizella atrogularis,SPIATG,
FISP,Field Sparrow,Spizella pusilla,SPIPUS
BRSP,Brewer's Sparrow,Spizella breweri,SPIBRE
WOSP,Worthen's Sparrow,Spizella wortheni,SPIWOR
CRBR,Costa Rican Brushfinch,Arremon costaricensis,ARRCOS
BHBR,Black-headed Brushfinch,Arremon atricapillus,ARRATR
OBSP,Orange-billed Sparrow,Arremon aurantiirostris,ARRAUR
GSBR,Green-striped Brushfinch,Arremon virenticeps,ARRVIR
CCBR,Chestnut-capped Brushfinch,Arremon brunneinucha,ARRBR
SFFI,Sooty-faced Finch,Arremon crassirostris,ARRCR
FOSP,Fox Sparrow,Passerella iliaca,PASIL
ATSP,American Tree Sparrow,Spizelloides arborea,SPIAR
VOJU,Volcano Junco,Junco vulcani,JUNVU
GUJU,Guadalupe Junco,Junco insularis,JUNIN
DEJU,Dark-eyed Junco,Junco hyemalis,JUNHY
SCJU,Slate-colored Junco,Junco hyemalis hyemalis,JUNHH
WWJU,White-winged Junco,Junco hyemalis aikeni,JUNHA
ORJU,Oregon Junco,Junco hyemalis oreganus,JUNHO
PSJU,Pink-sided Junco,Junco hyemalis mearnsi,JUNHM
GHJU,Gray-headed Junco,Junco hyemalis caniceps,JUNHC
RBJU,Red-backed Junco,Junco hyemalis dorsalis,JUNHD
YEJU,Yellow-eyed Junco,Junco phaeonotus,JUNPH
BAJU,Baird's Junco,Junco bairdi,JUNBA
RCOS,Rufous-collared Sparrow,Zonotrichia capensis,ZONCA
WCSP,White-crowned Sparrow,Zonotrichia leucophrys,ZONLE
EWCS,Eastern White-crowned Sparrow,Zonotrichia leucophrys leucophrys,ZONLL
MWCS,Mountain White-crowned Sparrow,Zonotrichia leucophrys oriantha,ZONLO
GWCS,Gambel's White-crowned Sparrow,Zonotrichia leucophrys gambelii,ZONLG
PSWS,Puget Sound White-crowned Sparrow,Zonotrichia leucophrys pugetensis,ZONLP
NWCS,Nuttall's White-crowned Sparrow,Zonotrichia leucophrys nuttalli,ZONLN
GCSP,Golden-crowned Sparrow,Zonotrichia atricapilla,ZONAT
HASP,Harris's Sparrow,Zonotrichia querula,ZONQU
WTSP,White-throated Sparrow,Zonotrichia albicollis,ZONAL
ZSHY,Zonotrichia Sparrow Hybrid,Zonotrichia hybrid,ZONHY
BESP,Bell's Sparrow,Artemisiospiza belli,ARTBE
USSP,Unidentified Sage Sparrow,Artemisiospiza nevadensis/belli,ARTNE
SABS,Sagebrush Sparrow,Artemisiospiza nevadensis,ARTNE
SCBS,San Clemente Bell's Sparrow,Artemisiospiza belli clementeae,ARTBE
SSPA,Striped Sparrow,Oriturus superciliosus,ORISU
VESP,Vesper Sparrow,Pooecetes gramineus,POOGR
LCSP,LeConte's Sparrow,Ammospiza leconteii,AMMLE
SESP,Seaside Sparrow,Ammospiza maritima,AMMMA
DSSP,Dusky Seaside-Sparrow,Ammospiza maritima nigrescens,AMMMN
CSSS,Cape Sable Seaside-Sparrow,Ammospiza maritima mirabilis,AMMMM
NESP,Nelson's Sparrow,Ammospiza nelsoni,AMMNE
SALS,Saltmarsh Sparrow,Ammospiza caudacuta,AMMCA
STSP,Sharp-tailed Sparrow,Ammospiza nelsoni/caudacuta,AMMNE
BAIS,Baird's Sparrow,Centronyx bairdii,CENBA
HESP,Henslow's Sparrow,Centronyx henslowii,CENHE
SAVS,Savannah Sparrow,Passerculus sandwichensis,PASSA
IPSP,Ipswich Sparrow,Passerculus sandwichensis princeps,PASSP
BSSP,Belding's Savannah Sparrow,Passerculus sandwichensis beldingi,PASSB
LBSP,Large-billed Sparrow,Passerculus sandwichensis rostratus,PASSR
SMSP,Sierra Madre Sparrow,Xenospiza baileyi,XENBA
SOSP,Song Sparrow,Melospiza melodia,MELME
LISP,Lincoln's Sparrow,Melospiza lincolnii,MELLI
SWSP,Swamp Sparrow,Melospiza georgiana,MELGEO
LFFI,Large-footed Finch,Pezopetes capitalis,PEZCAP
ZASP,Zapata Sparrow,Torreornis inexpectata,TORINE
RCGS,Rusty-crowned Ground-Sparrow,Melozone kieneri,MELKIE
CANT,Canyon Towhee,Melozone fusca,MEZFUS,
WTTO,White-throated Towhee,Melozone albicollis,MELALB
ABTO,Abert's Towhee,Melozone aberti,MELABE
CALT,California Towhee,Melozone crissalis,MELCRI
ICTO,Inyo California Towhee,Melozone crissalis eremophilus,MELCRE
WEGS,White-eared Ground-Sparrow,Melozone leucotis,MELLEU
WFGS,White-faced Ground-Sparrow,Melozone biarcuata,MELBIA
CAGS,Cabanis's Ground-Sparrow,Melozone cabanisi,MELCAB
RUSP,Rusty Sparrow,Aimophila rufescens,AIMRUS,
RCSP,Rufous-crowned Sparrow,Aimophila ruficeps,AIMRUP,
OASP,Oaxaca Sparrow,Aimophila notosticta,AIMNOT
GTTO,Green-tailed Towhee,Pipilo chlorurus,PIPCHL
SPTO,Spotted Towhee,Pipilo maculatus,PIPMA
URST,Unidentified Rufous-sided Towhee,Pipilo maculatus/erythrophthalmus,PIPMA
EATO,Eastern Towhee,Pipilo erythrophthalmus,PIPER
COTO,Collared Towhee,Pipilo ocai,PIPOC
HYTO,Hybrid Towhee,Pipilo hybrid,PIPHY
RCBR,Rufous-capped Brushfinch,Atlapetes pileatus,ATLPI
WNBR,White-naped Brushfinch,Atlapetes albinucha,ATLAL
YTBR,Yellow-thighed Brushfinch,Atlapetes tibialis,ALTTI
YGBR,Yellow-green Brushfinch,Atlapetes luteoviridis,ALTLU
UNSP,Unidentified Sparrow,"Passerellidae (gen, sp)",PASGS
WECT,Western Chat-Tanager,Calyptophilus tertius,CALTE
EACT,Eastern Chat-Tanager,Calyptophilus frugivorus,CALFR
WRET,Wrenthrush,Zeledonia coronata,ZELCO
BPLT,Black-crowned Palm-Tanager,Phaenicophilus palmarum,PHAPA
GCPT,Gray-crowned Palm-Tanager,Phaenicophilus poliocephalus,PHAPO
WWWA,White-winged Warbler,Xenoligea montana,XENMO
GTWA,Green-tailed Warbler,Microligea palustris,MICPAL
PRTA,Puerto Rican Tanager,Nesospingus speculiferus,NESSPE
WESP,Western Spindalis,Spindalis zena,SPIZEN
JAMS,Jamaican Spindalis,Spindalis nigricephala,SPINIG
HISP,Hispaniolan Spindalis,Spindalis dominicensis,SPDDOM,
PRSP,Puerto Rican Spindalis,Spindalis portoricensis,SPIPOR
YHWA,Yellow-headed Warbler,Teretistris fernandinae,TERFER
ORWA,Oriente Warbler,Teretistris fornsi,TERFOR
YBCH,Yellow-breasted Chat,Icteria virens,ICTVIR
YHBL,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,XANXAN
BOBO,Bobolink,Dolichonyx oryzivorus,DOLORY
CHME,Chihuahuan Meadowlark,Sturnella lilianae,STULIL
EAME,Eastern Meadowlark,Sturnella magna,STUMAG
EWME,Eastern/Western Meadowlark,Sturnella magna/neglecta,STUMAN
WEME,Western Meadowlark,Sturnella neglecta,STUNEG
RBRM,Red-breasted Meadowlark,Leistes militaris,LEIMIL
YBIC,Yellow-billed Cacique,Amblycercus holosericeus,AMBHO
YWCA,Yellow-winged Cacique,Cassiculus melanicterus,CASME
CROR,Crested Oropendola,Psarocolius decumanus,PSADE
CHOR,Chestnut-headed Oropendola,Psarocolius wagleri,PSAWA
MORO,Montezuma Oropendola,Psarocolius montezuma,PSAMO
BLOR,Black Oropendola,Psarocolius guatimozinus,PSAGU
SRCA,Scarlet-rumped Cacique,Cacicus uropygialis,CACUR
YRCA,Yellow-rumped Cacique,Cacicus cela,CACCE
BAHO,Bahama Oriole,Icterus northropi,ICTNO
CUOR,Cuban Oriole,Icterus melanopsis,ICTME
HIOR,Hispaniolan Oriole,Icterus dominicensis,ICTDO
PROR,Puerto Rican Oriole,Icterus portoricensis,ICTPO
SLOR,St. Lucia Oriole,Icterus laudabilis,ICTLA
MORI,Montserrat Oriole,Icterus oberi,ICTOB
MAOR,Martinique Oriole,Icterus bonana,ICTBO
BVOR,Black-vented Oriole,Icterus wagleri,ICTWA
BWOR,Bar-winged Oriole,Icterus maculialatus,ICTMAC
BCOR,Black-cowled Oriole,Icterus prosthemelas,ICTPRO
OROR,Orchard Oriole,Icterus spurius,ICTSPU
HOOR,Hooded Oriole,Icterus cucullatus,ICTCUC
YBOR,Yellow-backed Oriole,Icterus chrysater,ICTCHR
OCOR,Orange-crowned Oriole,Icterus auricapillus,ICTAUC,
YTOR,Yellow-tailed Oriole,Icterus mesomelas,ICTMES
VETR,Venezuelan Troupial,Icterus icterus,ICTICT
SBAO,Streak-backed Oriole,Icterus pustulatus,ICTPUS
BUOR,Bullock's Oriole,Icterus bullockii,ICTBUL
BBOH,Bullock's x Baltimore Oriole Hybrid,Icterus bullockii x galbula,ICTBUG
ORAO,Orange Oriole,Icterus auratus,ICTAUT,
JAOR,Jamaican Oriole,Icterus leucopteryx,ICTLEU
SBOR,Spot-breasted Oriole,Icterus pectoralis,ICTPEC
ALOR,Altamira Oriole,Icterus gularis,ICTGUL
AUOR,Audubon's Oriole,Icterus graduacauda,ICTGRA
BAOR,Baltimore Oriole,Icterus galbula,ICTGA
BBOR,Black-backed Oriole,Icterus abeillei,ICTAB
SCOR,Scott's Oriole,Icterus parisorum,ICTPA
JABL,Jamaican Blackbird,Nesopsar nigerrimus,NESNI
RWBL,Red-winged Blackbird,Agelaius phoeniceus,AGEPH
RSBL,Red-shouldered Blackbird,Agelaius assimilis,AGEAS
TRBL,Tricolored Blackbird,Agelaius tricolor,AGETR
TSBL,Tawny-shouldered Blackbird,Agelaius humeralis,AGEHU
YSBL,Yellow-shouldered Blackbird,Agelaius xanthomus,AGEXA
SHCO,Shiny Cowbird,Molothrus bonariensis,MOLBO
BROC,Bronzed Cowbird,Molothrus aeneus,MOLAE
BHCO,Brown-headed Cowbird,Molothrus ater,MOLAT
GICO,Giant Cowbird,Molothrus oryzivorus,MOLOR
MEBL,Melodious Blackbird,Dives dives,DIVDI
CUBL,Cuban Blackbird,Ptiloxena atroviolacea,PTIAT
RUBL,Rusty Blackbird,Euphagus carolinus,EUPCA
BRBL,Brewer's Blackbird,Euphagus cyanocephalus,EUPCYC,
COGR,Common Grackle,Quiscalus quiscula,QUIQUI
BTGR,Boat-tailed Grackle,Quiscalus major,QUIMAJ
GTGR,Great-tailed Grackle,Quiscalus mexicanus,QUIMEX
SBGR,Slender-billed Grackle,Quiscalus palustris,QUIPAL
NIGR,Nicaraguan Grackle,Quiscalus nicaraguensis,QUINIC
GAGR,Greater Antillean Grackle,Quiscalus niger,QUINIG
CAGR,Carib Grackle,Quiscalus lugubris,QUILUG
YHOB,Yellow-hooded Blackbird,Chrysomus icterocephalus,CHRICT
UNBL,Unidentified Blackbird,"Icteridae (gen, sp)",ICTGSP
OVEN,Ovenbird,Seiurus aurocapilla,SEIAUR
WEWA,Worm-eating Warbler,Helmitheros vermivorum,HELVER
LOWA,Louisiana Waterthrush,Parkesia motacilla,PARMOT
NOWA,Northern Waterthrush,Parkesia noveboracensis,PARNOV
BAWA,Bachman's Warbler,Vermivora bachmanii,VERBAC
GWWA,Golden-winged Warbler,Vermivora chrysoptera,VERCHR
BWWA,Blue-winged Warbler,Vermivora cyanoptera,VERCYA
BRWA,Brewster's Warbler,Vermivora chrysoptera x cyanoptera,VERCCY
LAWA,Lawrence's Warbler,Vermivora cyanoptera x chrysoptera,VERCCH
GBWH,Blue-wg. x Golden-wg. Warbler Hybrid,Vermivora hybrid,VERHYB
BAWW,Black-and-white Warbler,Mniotilta varia,MNIVAR
PROW,Prothonotary Warbler,Protonotaria citrea,PROCIT
SWWA,Swainson's Warbler,Limnothlypis swainsonii,LIMSWA
CCWA,Crescent-chested Warbler,Oreothlypis superciliosa,ORESUP
FTHW,Flame-throated Warbler,Oreothlypis gutturalis,OREGUT
TEWA,Tennessee Warbler,Leiothlypis peregrina,LEIPER
OCWA,Orange-crowned Warbler,Leiothlypis celata,LEICEL
COLW,Colima Warbler,Leiothlypis crissalis,LEICRI
LUWA,Lucy's Warbler,Leiothlypis luciae,LEILUC
NAWA,Nashville Warbler,Leiothlypis ruficapilla,LEIRUF
VIWA,Virginia's Warbler,Leiothlypis virginiae,LEIVIR
SEMW,Semper's Warbler,Leucopeza semperi,LEUSER,
CONW,Connecticut Warbler,Oporornis agilis,OPOAG
GCYE,Gray-crowned Yellowthroat,Geothlypis poliocephala,GEOPO
MGWA,MacGillivray's Warbler,Geothlypis tolmiei,GEOTO
MOWA,Mourning Warbler,Geothlypis philadelphia,GEOPH
KEWA,Kentucky Warbler,Geothlypis formosa,GEOFO
OCYE,Olive-crowned Yellowthroat,Geothlypis semiflava,GEOSE
BPYE,Black-polled Yellowthroat,Geothlypis speciosa,GEOSP
BEYE,Belding's Yellowthroat,Geothlypis beldingi,GEOBE
BAYE,Bahama Yellowthroat,Geothlypis rostrata,GEORO
ALYE,Altamira Yellowthroat,Geothlypis flavovelata,GEOFL
COYE,Common Yellowthroat,Geothlypis trichas,GEOTR
HOYE,Hooded Yellowthroat,Geothlypis nelsoni,GEONE
WHIW,Whistling Warbler,Catharopeza bishopi,CATBI
PLUW,Plumbeous Warbler,Setophaga plumbea,SETPL
EWWA,Elfin-woods Warbler,Setophaga angelae,SETAN
ARRW,Arrowhead Warbler,Setophaga pharetra,SETPH
